cellid_source,cellid_sink,moistureflow_volume
12116,11870,44.33793445667321
12116,11871,200.2158327301909
12116,11872,330.9324882089684
12116,11873,14.67727007942014
12116,11874,2.6584342916464836
12116,11875,0.10663103241765892
12116,11876,0.02887068233297263
12116,11877,133.93856086634844
12116,11878,221.38419629560818
12116,11879,2233.8559021653627
12116,11880,604.8234052207442
12116,11881,221.38419629560818
12116,11882,299.2893115810323
12116,11883,447.38765563739247
12116,11884,1222.2666742436415
12116,11885,817.660806893848
12116,11886,2731.1877112659445
12116,11887,1827.0850337584552
12116,11888,2731.1877112659445
12116,11889,10087.373828574322
12116,11890,15078.943196680024
12116,11891,16673.205485615705
12116,11892,9122.837063093506
12116,11893,10087.373828574322
12116,11894,24923.66424569258
12116,11895,24923.66424569258
12116,11896,50367.369953928064
12116,11897,50367.369953928064
12116,11898,92053.10839204068
12116,11899,112547.24093011927
12116,11900,124446.60414133909
12116,11901,168239.37347508586
12116,11902,186026.9388997338
12116,11903,251489.83265492786
12116,11904,339989.1236338251
12116,11905,508227.09358120995
12116,11906,459631.32174771786
12116,11907,621375.6183538549
12116,11908,415682.19128757593
12116,11909,307479.96761548653
12116,11910,251489.83265492786
12116,11911,227442.82162286228
12116,11912,168239.37347508586
12116,11913,205695.14306667345
12116,11914,168239.37347508586
12116,11915,186026.9388997338
12116,11916,168239.37347508586
12116,11917,137604.05989807454
12116,11918,137604.05989807454
12116,11919,112547.24093011927
12116,11920,101785.67369018779
12116,11921,83251.1536980045
12116,11922,101785.67369018779
12116,11923,92053.10839204068
12116,11924,83251.1536980045
12116,11925,83251.1536980045
12116,11926,75290.82627532499
12116,11927,68091.65121944786
12116,11928,61580.8484932306
12116,11932,83251.1536980045
12116,11933,55692.597157390126
12116,11934,50367.369953928064
12116,11935,61580.8484932306
12116,11936,75290.82627532499
12116,11937,61580.8484932306
12116,11938,50367.369953928064
12116,11947,61580.8484932306
12116,11948,75290.82627532499
12116,11949,61580.8484932306
12116,11950,61580.8484932306
12116,11951,55692.597157390126
12116,11952,50367.369953928064
12116,11953,55692.597157390126
12116,11954,55692.597157390126
12116,11955,61580.8484932306
12116,11956,55692.597157390126
12116,11957,45551.33151550691
12116,11958,55692.597157390126
12116,11959,50367.369953928064
12116,11960,27558.7864482718
12116,11961,16673.205485615705
12116,11962,30472.51411407964
12116,12066,0.0019140607553231614
12116,12067,0.0021164300355267854
12116,12068,0.0023401953583880104
12116,12069,0.002587618878720772
12116,12070,0.002587618878720772
12116,12071,0.0023401953583880104
12116,12072,0.0028612019238104885
12116,12073,0.0023401953583880104
12116,12074,0.002587618878720772
12116,12075,0.0028612019238104885
12116,12076,0.0028612019238104885
12116,12077,0.0023401953583880104
12116,12078,0.0023401953583880104
12116,12079,0.0028612019238104885
12116,12080,8.030749910752542
12116,12081,3.593937518321722
12116,12082,0.002587618878720772
